PID,name,szlemik
01677,Stanisław Szuba,49.59
01554,Janusz Pawlicki,49.59
01633,Grzegorz Skowronek,49.59
01402,Lech Kostecki,49.59
01493,Bohdan Mazur,49.59
01311,Jerzy Gładysz,49.59
06559,Tadeusz Cymbalista,49.59
19606,Ireneusz Górski,49.59
16784,Władysław Łobacz,49.59
01456,Andrzej Litwiński,49.59
01683,Marian Szymonowicz,49.59
04672,Andrzej Pella,49.59
12434,Wojciech Kaniewski,49.46
16373,Krzysztof Pietruszka,49.19
16888,Ireneusz Liberadzki,49.19
21959,Wiesław Wójcik,48.92
21958,Janusz Piłat,48.92
02219,Beata Bojarska,48.78
04632,Jacek Lew,45.95
13920,Wojciech Adamkiewicz,45.95
13358,Łukasz Gackowski,45.95
10443,Leszek Nowakowski,45.95
18821,Marek Melsztyński,45.95
05932,Remigiusz Góralczyk,45.95
12439,Arkadiusz Gotwald,45.95
07475,Jerzy Stworzewicz,45.95
01664,Andrzej Suchodolski,45.95
17383,Łukasz Stworzewicz,45.95
01648,Zbigniew Sosna,45.95
06175,Kazimierz Dobrzyniecki,45.95
05023,Paweł Gruszczyński,45.95
13065,Anna Jankowska,45.95
08078,Edmund Pinkiewicz,45.95
20896,Aniela Jarnutowska,45.95
04519,Mirosław Zomkowski,45.95
11810,Stefan Pawlęty,45.95
05102,Leszek Karwasiński,45.95
18843,Wojciech Słysz,45.95
04365,Krzysztof Michalczyk,45.95
09288,Zbigniew Bando,45.68
03030,Zbigniew Listewnik,45.68
02049,Kazimierz Kuczyński,44.19
02093,Stanisław Owczarski,44.19
06030,Waldemar Mikucki,44.19
06079,Grzegorz Rybacki,44.19
05548,Janusz Zwierzyński,44.19
03750,Julian Jurski,44.19
05446,Marek Szukała,44.19
05045,Przemysław Hauser,44.19
03853,Jerzy Misiórski,44.19
05357,Jerzy Roszak,44.19
12783,Robert Mrukowski,44.19
17230,Krzysztof Bonowicz,44.05
21889,Małgorzata Niedzielska,43.78
21888,Tomasz Niedzielski,43.78
05674,Alfred Kram,43.51
05828,Mirosław Staszewski,43.51
12923,Maciej Szalewicz,42.97
05834,Roman Supeł,42.97
09587,Zbigniew Wiśniewski,42.97
09588,Tadeusz Czajka,42.97
18645,Ewa Morawska,42.84
04719,Artur Toeplitz,41.62
08841,Mirosław Sankiewicz,41.62
01521,Józef Kuczak,41.62
01538,Bogdan Pietkiewicz,41.62
04551,Robert Czarnecki,41.62
20976,Jolanta Kędzierska,41.62
06255,Paweł Wróblewski,41.62
20969,Genowefa Grenik,41.62
06221,Grzegorz Nowiński,41.62
19231,Henryk Adamski,41.22
19405,Roman Kowal,41.22
10439,Tadeusz Smurawa,41.22
15074,Danuta Skowronek,40.68
14364,Roman Pawłowski,40.68
09228,Karol Kałuziński,40.68
09736,Adam Motyka,40.68
04404,Wiesław Pietrzak,40.41
04494,Zenon Wawer,40.41
09356,Agnieszka Ziomek,40.14
02040,Skarbimir Kozar,40.14
04745,Kazimierz Wołowiec,39.86
04581,Kazimierz Gralak,39.86
13841,Marek Parol,39.59
04848,Maria Tomczewska,39.59
10354,Krzysztof Przybielski,39.46
06251,Andrzej Wądołowski,39.32
19911,Antoni Byliński,39.05
21053,Szymon Jędrzejewski,39.05
08250,Andrzej Karczewski,33.51
15906,Dariusz Głowiński,33.51
09778,Szczepan Chruścicki,33.51
08005,Jan Czarniecki,33.51
16370,Jerzy Mierzejewski,33.51
21124,Katarzyna Pogłód,33.51
21404,Marek Kwaśniak,33.51
07736,Maciej Szczepański,33.51
04305,Marek Klepacki,33.51
14276,Pavel Klebanovich,33.51
21442,Anna Sladek,33.51
18065,Lech Kobajło,33.51
03834,Krzysztof Majkowski,33.51
18354,Małgorzata Buduła,33.51
08097,Włodzimierz Kocoń,33.51
06313,Adam Amrozy,33.51
15769,Piotr Birowski,33.51
18319,Rafał Przybysz,33.51
14837,Władysław Kucenko,33.51
04712,Leszek Szkudlarek,33.51
14090,Grzegorz Zgorzelski,33.51
19714,Andrzej Skrzydło,33.51
13118,Andrzej Janiak,33.51
12376,Dorota Kwintkiewicz,33.51
04968,Leszek Ernst,33.51
02086,Czesław Niewiarowski,33.51
12229,Robert Rychlicki,33.51
04157,Sławomir Bolesta,33.51
18964,Wiesław Gorczewski,33.51
11624,Jan Jaworski,33.51
11594,Waldemar Wieremiejczyk,33.51
03920,Grzegorz Rojewski,33.51
10020,Jerzy Słomski,33.51
06357,Jolanta Wiśniewska,33.51
17499,Dariusz Wiktorko,33.51
08004,Mieczysław Buczek,33.51
20417,Cezary Miodyński,33.51
07925,Henryk Wichrowski,33.51
05259,Maciej Młynarczyk,33.51
10458,Ryszard Maras,33.51
10455,Mirosław Andrzejczak,33.51
18491,Tadeusz Dziadykiewicz,33.38
08543,Marek Jaroszkiewicz,31.62
18076,Wiesław Olszewski,31.62
06097,Jerzy Stańczyk,31.62
06152,Maciej Zembrzuski,31.62
17677,Zdzisław Kuc,31.62
14282,Mirosław Giełczyński,31.62
03731,Danuta Iwanus,31.62
01849,Romuald Chodań,31.62
01324,Stanisław Greszta,31.62
17854,Dariusz Krakowiak,31.62
19984,Mirosław Rożek,31.62
01378,Olgierd Jurgielewicz,31.62
19071,Wojciech Gajzler,31.62
17900,Henryk Nowak,31.35
18057,Zenon Gajkowski,31.35
19403,Andrzej Grześko,21.22
04017,Iwona Puczyłowska,21.22
04030,Marek Nasiłowski,21.22
04064,Michał Bobrykow,21.22
16810,Przemysław Stefanowski,21.22
21955,Sławomir Dąbrowski,21.22
04066,Zbigniew Gadek,21.22
21956,Bogdan Trzyciecki,21.22
04133,Henryk Stecewicz,21.22
21731,Marek Brosch,21.22
01364,Grażyna Ćwiek,21.22
01056,Grażyna Blech,21.22
21656,Leszek Jarząb,21.22
19536,Jerzy Chopcian,21.22
16707,Piotr Trębski,21.22
19762,Franciszek Szklennik,21.22
01936,Władysław Biernat,21.22
02243,Zdzisław Dolata,21.22
01671,Zbigniew Szanduła,21.22
21057,Dariusz Sarzyński,21.22
18435,Edward Poselt,21.22
18417,Robert Czernecki,21.22
03387,Tadeusz Nędzi,21.22
19346,Andrzej Dachtera,21.22
18265,Ewa Sokolińska,21.22
21565,Zbigniew Łuczak,21.22
21566,Adam Grzona,21.22
01270,Grzegorz Czapulak,21.22
04179,Paweł Abramski,21.22
06334,Dariusz Krajewski,21.22
04198,Adolf Bocheński,21.22
11521,Kazimierz Komorowicz,21.22
14401,Mirosław Makuch,21.22
10386,Jarosław Kuźba,21.22
10456,Waldemar Brzozowski,21.22
10457,Zdzisław Majer,21.22
10472,Samuel Bałdysz,21.22
15398,Lucyna Gozdek,21.22
05241,Tomasz Mielcarek,21.22
05156,Roman Kujawski,21.22
15195,Wiesław Podlecki,21.22
12002,Jerzy Rosenthal,21.22
05304,Waldemar Pałka,21.22
04469,Tomasz Stopierzyński,21.22
15044,Piotr Surdyk,21.22
04237,Zdzisław Falkowski,21.22
12320,Sophia Bałdysz,21.22
04992,Zbigniew Geisler,21.22
12694,Tadeusz Mediuch,21.22
04857,Jan Adamczewski,21.22
13179,Janusz Kozioł,21.22
04755,Danuta Żabicka,21.22
15643,Rafał Mikołajczak,21.22
10350,Zdzisław Cimaszkiewicz,21.22
15645,Marcin Bonawenturczak,21.22
08316,Krzysztof Nagielski,21.22
06659,Maciej Kalita,21.22
16456,Sylwester Sokół,21.22
07109,Jerzy Ronke,21.22
07882,Zbigniew Ćwiertniak,21.22
07910,Zbigniew Pietrzak,21.22
04279,Jan Janiak,21.22
06144,Czesław Wojtaś,21.22
16147,Marek Bednarczyk,21.22
05350,Wojciech Robiński,21.22
08225,Janusz Reisner,21.22
15866,Roman Wąchała,21.22
15865,Krystyna Wąchała,21.22
06021,Witold Mateńko,21.22
08411,Krzysztof Kobyliński,21.22
08987,Zdzisław Senderek,21.22
05793,Ireneusz Różycki,21.22
05670,Andrzej Kozikowski,21.22
05356,Leszek Rosochowicz,21.22
04720,Paweł Czacharowski,21.22
06090,Robert Cylwik,21.08
19639,Andrzej Łysakowski,20.95
01968,Sławomir Drewalski,20.68
02126,Sebastian Simonienko,20.68
13249,Krzysztof Małolepszy,20.54
19007,Stanisław Zbroja,20.27
19469,Lesław Pyda,20.27
01288,Janusz Drozdowski,20.0
10479,Krzysztof Obłój,20.0
20806,Mateusz Bakalarski,19.73
20680,Wojciech Okrzesik,19.73
11319,Przemysław Zawada,17.57
06001,Tadeusz Leszczyński,17.57
12691,Stanisław Borowiec,17.57
08271,Adam Karczmarz,17.57
01576,Jerzy Poznar,17.57
04325,Lucyna Krutelewicz,17.57
01128,Roman Opaliński,17.57
16439,Jerzy Plichtowicz,17.57
14465,Igor Smyk,17.57
09162,Jacek Trętowski,17.57
06225,Wojciech Palmowski,17.57
15194,Halina Podlecka,17.57
11726,Ryszard Kamiński,17.57
03855,Andrzej Mitka,17.57
11235,Sławomir Wojtyłko,17.57
14165,Sylwester Gołdyn,17.57
04547,Andrzej Bunikowski,17.3
07794,Marta Janeczek,17.3
14515,Mieczysław Romanowski,17.16
11637,Andrzej Błachno,16.89
14252,Stefan Kopyt,16.89
12377,Albina Suder,16.76
18942,Elżbieta Szałas,16.49
16763,Waldemar Czajkowski,16.49
19388,Andrzej Jarząbkowski,16.22
06923,Jacek Sikora,16.22
18502,Małgorzata Węglewska,15.81
05229,Adam Meller,15.81
20225,Maciej Cieślukowski,15.81
04797,Ryszard Konopka,15.41
15870,Andrzej Kulasa,15.41
04772,Bogusław Dyk,15.41
15630,Marian Kanikowski,9.73
06055,Henryk Pakuła,9.73
03884,Wiesław Paczkowski,9.73
06322,Kazimierz Falkowski,9.73
01821,Wiesława Nawojczyk,9.73
17712,Zbigniew Orliński,9.73
18387,Michał Maciołek,9.73
06355,Lech Warwocki,9.73
20033,Dominik Magryś,9.73
06346,Adam Pawłowski,9.73
07271,Adrian Bakalarz,9.73
16778,Jerzy Rybarski,9.73
10385,Wiesław Adamowicz,9.73
07290,Jacek Cholewik,9.73
21601,Natalia Fręchowicz,9.73
06331,Roman Kiełkiewicz,9.73
16881,Zbigniew Nowakowski,9.73
09710,Mariusz Mączewski,9.73
01483,Adam Marcinowski,9.73
03992,Roman Wachowiak,9.73
21129,Marta Jakubisiak,9.73
21134,Michał Pawlak,9.73
21136,Beata Rożek,9.73
17273,Janusz Sztolc,9.73
21538,Jan Luber,9.73
08344,Jerzy Czeszewski,9.73
18388,Maciej Maciołek,9.73
01829,Andrzej Michalczyk,9.73
02110,Zbigniew Przybylski,9.73
13237,Bogdan Sadowski,9.73
12629,Tomasz Magryś,9.73
18220,Janusz Zabacki,9.73
12435,Janusz Kopras,9.73
13843,Stanisław Gołdyn,9.73
02121,Ryszard Sakowicz,9.73
19386,Andrzej Ciechacki,9.73
18862,Dariusz Płoszaj,9.73
02436,Krzysztof Tumielewicz,9.73
18260,Tomasz Wolfke,9.73
02395,Krzysztof Rogoziński,9.73
18801,Radosław Rozman,9.73
17984,Krzysztof Galubiński,9.73
15722,Karol Nowak,9.46
16853,Zbigniew Mossakowski,9.46
05170,Włodzimierz Kwiatkowski,8.65
16729,Barbara Podgórska,8.65
05582,Włodzimierz Choinkowski,8.65
09542,Waldemar Górski,8.65
19740,Leszek Grzelak,8.65
17296,Stanisław Kowalczewski,8.65
17493,Adam Seichter,8.38
03933,Eugeniusz Seichter,8.38
20881,Krzysztof Borowik,8.11
02229,Henryk Choiński,8.11
04347,Henryk Łakomski,7.84
03636,Mieczysław Lebiecki,7.84
13767,Robert Zaciura,7.7
19873,Janusz Bakalarz,7.43
13422,Leszek Zieliński,7.43
17771,Jacek Piechowiak,6.89
21213,Mieczysław Głowacki,6.89
11293,Radzisław Oczkowicz,6.89
04876,Romuald Bartoszko,6.89
05019,Mirosław Grobelkiewicz,6.08
18224,Marek Nicewicz,6.08
20198,Krystyna Kozik,6.08
15312,Mirosława Stachura,6.08
09455,Henryk Komodziński,6.08
21588,Ewa Sumińska,6.08
15688,Barbara Soroko,5.81
17389,Zdzisława Krzyżańska,5.81
21923,Arkadiusz Mazur,4.86
12888,Andrzej Drgas,4.86
02283,Zbigniew Józefiak,4.86
02445,Zbigniew Wojdak,4.86
01938,Henryk Bogucki,4.86
18993,Franciszek Bułyszko,4.86
01869,Henryk Przybylski,4.86
18882,Wiesław Jarmułowicz,4.73
05192,Jarosław Lubczyński,4.46
04956,Marek Domagała,4.46
18881,Tadeusz Rodak,3.92
05893,Jacek Batóg,3.92
05996,Zbigniew Lasocki,3.92
13992,Mariusz Bakalarski,3.92
18166,Arkadiusz Wódkowski,3.65
18165,Dariusz Kłodos,3.65
10465,Mieczysław Korzeniowski,2.97
01556,Jan Pawlikaniec,2.97
12964,Konstanty Pawlikaniec,2.97
19380,Marek Borkowski,2.97
20201,Piotr Mizak,2.97
13384,Rajmund Fons,2.7
08052,Bohdan Pliszka,2.7
20123,Ewa Ziółkowska,1.62
21685,Karol Zieliński,1.62
20116,Kazimierz Wierzbowski,1.62
05298,Michał Pabich,1.62
01163,Andrzej Skoczylas,1.62
06121,Bogdan Trun,1.62
14407,Tadeusz Lisowski,1.62
11198,Krzysztof Lipowski,1.62
06921,Dariusz Sierocki,0.41
09138,Danuta Kazmucha,0.41
18642,Maria Niklaus,0.41
20167,Magdalena Judek,0.41
18827,Wiesław Lange,0.41
02056,Krystyna Lindner,0.41
14675,Genowefa Sierocka,0.41
05374,Cezary Serek,0.41
01937,Ryszard Boberski,0.41
17787,Tymoteusz Zaborowski,0.14
01628,Roman Siwiec,0.14
17509,Urszula Wądołowska,0.0
