,PID,średnia_na_rozgrywce,średnia_na_obronie,Kokosy_na_Obronie,częściówka,końcówka,szlemik,Wpadka
0,00567,37.117333333333335,62.06285714285714,85.875,52.73833333333334,36.74,29.543333333333337,23.3275
1,01001,45.47323529411764,43.01396551724138,69.9203448275862,45.582830188679246,47.4121568627451,48.971000000000004,24.218103448275862
2,01005,59.46357142857143,51.36666666666667,71.04714285714286,49.03153846153846,67.1,79.57,37.476
3,01010,41.14128,45.139483870967744,68.71089285714285,42.232207792207795,41.086781609195405,39.425,23.345357142857143
4,01056,49.88532608695652,48.277804878048784,71.38428571428571,47.89661538461539,46.40109375,59.18444444444444,26.11057142857143
5,01060,42.098571428571425,42.288761904761905,67.41411764705882,43.178888888888885,40.6331746031746,32.81333333333333,23.552857142857142
6,01072,58.23827751196172,49.06662551440329,73.52082474226805,53.18666666666667,50.8317880794702,43.30384615384616,29.454727272727272
7,01095,50.94285714285714,51.81923076923077,80.949,50.023,44.833999999999996,69.86,27.6725
8,01101,48.701910112359556,48.88256756756757,70.11607142857143,51.259791666666665,47.06641025641026,38.52571428571429,34.70219512195122
9,01105,57.89358490566038,52.51649122807018,65.93111111111112,53.32484848484849,56.87967741935484,46.24666666666667,38.745625000000004
10,01108,44.238933333333335,46.28353293413174,70.26545454545455,48.150740740740744,44.26537735849057,36.464285714285715,22.91393442622951
11,01111,42.85026315789474,42.82468085106383,72.33533333333334,41.75,41.75185185185185,17.677500000000002,24.861250000000002
12,01117,47.26220472440945,49.582931034482755,73.56113636363636,47.67640625,48.19884615384615,56.51571428571429,26.2164
13,01136,38.274,45.68105263157895,70.07571428571428,39.146,31.89,52.57,32.212
14,01139,50.114823529411765,48.440099502487556,69.95766666666667,46.69234782608696,51.41081967213115,50.998125,27.600172413793103
15,01140,37.96357142857143,40.30108527131783,60.12285714285714,36.98202898550725,40.90941176470589,34.51714285714286,19.972926829268292
16,01157,43.84151515151515,45.273717948717945,68.7794,47.23189189189189,43.75625,33.85,23.181818181818183
17,01163,50.53385185185185,47.27388489208633,72.53795454545455,52.77802325581395,47.481084337349394,64.15599999999999,21.1778431372549
18,01164,48.19166666666666,45.98625,69.09892857142857,52.13021739130434,40.78529411764706,35.425,19.095
19,01169,50.29902173913044,49.733981481481486,70.11208333333333,47.45406504065041,52.1234126984127,50.998125,27.446349206349204
20,01218,39.338828828828824,46.35478873239437,69.97037735849057,39.23169014084507,45.353857142857144,45.281666666666666,19.031132075471696
21,01230,54.57322222222222,51.81169811320755,74.82238095238095,61.9485294117647,60.45795918367347,37.82,25.116388888888892
22,01247,49.02418118466899,51.79544642857143,75.38593023255814,50.22369565217391,54.232328767123285,56.4537037037037,24.70078947368421
23,01252,57.36157205240174,51.912211538461534,77.702,55.8094214876033,54.35694267515924,57.186470588235295,27.563283582089554
24,01282,48.20101449275362,49.10176470588235,67.85538461538462,52.239583333333336,44.07684210526316,39.465,26.679523809523808
25,01292,55.91279411764706,51.922399999999996,74.80193548387098,52.07568181818181,53.94658536585366,50.27833333333333,27.26571428571429
26,01313,50.00030303030303,50.27893939393939,75.66222222222221,51.50243902439024,40.71648648648649,54.444,31.14636363636364
27,01317,48.01879310344828,48.162444444444446,76.02777777777777,47.917931034482756,51.09928571428571,60.7475,21.687916666666666
28,01318,55.164,55.102380952380955,68.35583333333334,53.95285714285715,70.68857142857142,58.004999999999995,29.044999999999998
29,01324,45.70037037037037,46.67888888888889,68.20347826086957,46.755405405405405,46.83,35.79,32.08162162162162
30,01328,51.547278911564625,53.33312849162011,71.47493670886075,52.51913043478261,50.99781609195403,57.628750000000004,29.13266666666667
31,01333,43.45427385892116,47.402064777327936,67.0409195402299,45.63656050955414,45.07986301369863,34.66166666666667,25.415
32,01341,50.92214285714285,38.74466666666667,71.5875,54.120000000000005,35.532,19.715,36.004
33,01359,49.71038461538462,39.24620689655172,73.21,54.01142857142857,30.61315789473684,20.34,37.289
34,01363,45.76851063829787,54.39929824561404,71.26723404255318,52.02849315068493,52.14060606060606,38.125,29.162063492063492
35,01364,43.45427385892116,47.402064777327936,67.0409195402299,45.63656050955414,45.07986301369863,34.66166666666667,25.415
36,01366,42.15886597938144,50.9127358490566,69.99232558139535,51.12444444444445,41.02561403508772,23.8625,22.82611111111111
37,01371,41.80887640449438,48.2722972972973,76.28714285714285,44.42553191489362,45.651282051282045,27.43166666666667,26.14209302325581
38,01378,45.8059243697479,48.62286458333333,67.61920634920635,46.95294573643411,51.451843971631206,31.185000000000002,27.322688172043012
39,01386,42.807647058823534,43.63776595744681,64.05777777777777,40.59,48.6162,51.775555555555556,25.017
40,01390,46.410555555555554,51.30114285714286,68.9988,50.58,49.4234375,52.265,27.916
41,01392,45.649,45.254210526315795,70.26625,57.465999999999994,24.635714285714283,56.625,25.88
42,01399,45.550000000000004,47.399375,62.30733333333333,52.7590625,40.53523809523809,1.14,26.814615384615383
43,01412,45.75396825396825,44.78548611111111,64.05625,48.38466666666667,40.00853658536585,60.808571428571426,25.835
44,01418,47.57783783783784,53.29511111111112,75.50086956521739,57.12157894736842,38.9078947368421,59.754999999999995,25.161578947368422
45,01423,47.03655172413793,41.29807692307692,74.508,50.42894736842105,36.699375,44.593333333333334,32.17916666666667
46,01434,47.26384615384615,48.89507462686568,65.4304347826087,46.55924528301887,54.51024390243903,34.82333333333333,26.0248
47,01459,44.55128205128205,54.31133333333333,69.93095238095238,43.919090909090905,48.24071428571428,61.13,28.645
48,01465,60.1375,52.79114285714286,65.71230769230769,54.99571428571429,53.45933333333333,48.94333333333333,30.849999999999998
49,01468,51.08693430656934,52.102333333333334,75.22173076923077,50.903333333333336,50.28564705882353,52.92666666666667,30.800196078431373
50,01482,48.312,52.13205882352941,76.10103896103895,49.302809917355376,54.8587786259542,55.42875,24.64424528301887
51,01489,61.16166666666667,44.32733333333333,55.955999999999996,54.07857142857143,51.1109090909091,30.14,49.38666666666666
52,01492,46.32375,45.29090909090909,71.408,65.64166666666667,41.38857142857143,99.24,12.44125
53,01507,45.53231578947368,43.87148717948718,70.77819672131147,44.43737288135593,44.02459677419355,38.19416666666667,24.680285714285713
54,01510,47.59775862068965,45.17714285714286,62.35375,45.446666666666665,45.58588235294118,52.33833333333333,25.318235294117645
55,01511,42.553636363636365,55.25333333333333,75.05,45.76714285714286,47.3,82.86,23.23
56,01512,46.86082949308756,46.70009900990099,67.41166666666666,48.05878260869565,50.83142857142857,44.026875,22.017804878048782
57,01517,47.52722727272727,47.76884393063584,66.59147540983606,49.356249999999996,52.200322580645164,53.74538461538462,23.596265060240963
58,01521,43.40396039603961,47.32004651162791,69.30358024691358,45.03095238095238,44.734736842105264,53.26533333333334,22.299638554216866
59,01523,48.31905660377358,52.382358490566034,75.8997435897436,47.53952380952381,53.99392857142857,69.06,24.850652173913044
60,01532,61.16166666666667,44.32733333333333,55.955999999999996,54.07857142857143,51.1109090909091,30.14,49.38666666666666
61,01536,50.053676470588236,53.07124031007751,69.84846153846154,47.86392857142857,49.69967213114754,45.075,31.36576923076923
62,01538,43.00558139534884,47.74415584415584,71.2978313253012,45.703272727272726,45.01201342281879,50.43999999999999,20.973370786516853
63,01548,46.9148167539267,46.37558375634518,71.78333333333333,45.37555555555555,45.53064,40.21625,28.291944444444443
64,01562,36.09777777777778,35.329142857142855,48.68,42.17388888888889,27.973125,22.036666666666665,28.00375
65,01593,55.91279411764706,51.922399999999996,74.80193548387098,52.07568181818181,53.94658536585366,50.27833333333333,27.26571428571429
66,01596,52.44875,46.698437500000004,71.80222222222223,56.626363636363635,41.35923076923076,22.853333333333335,28.321111111111108
67,01607,59.003018867924524,44.77740740740741,73.46058823529411,52.91761904761905,48.321739130434786,62.786249999999995,30.663333333333334
68,01616,40.09917808219178,47.9328813559322,69.76230769230769,42.477714285714285,46.76233333333333,23.432,25.964166666666667
69,01623,43.249607843137255,51.22741935483871,72.365,45.27324324324324,43.88125,56.550000000000004,25.14777777777778
70,01628,50.912898550724634,45.33179104477612,70.07125,47.602916666666665,49.044,30.765,25.467272727272725
71,01629,45.166393442622955,51.88688311688312,73.55099999999999,45.60829787234043,44.80694444444444,54.6775,27.07428571428571
72,01633,51.478764044943816,51.553333333333335,63.152830188679246,48.48316666666667,56.012790697674426,51.3575,34.575675675675676
73,01637,43.46060000000001,39.43171875,63.83894736842105,42.893,37.08666666666667,29.426666666666666,22.97375
74,01638,43.46060000000001,39.43171875,63.83894736842105,42.893,37.08666666666667,29.426666666666666,22.97375
75,01651,58.11142857142857,54.16923076923077,74.436,48.567647058823525,74.84866666666667,38.9,25.12
76,01660,55.21758620689655,47.1064,69.372,51.1576923076923,62.236666666666665,4.02,26.536363636363635
77,01671,45.236000000000004,47.64982905982906,73.87454545454545,42.77745762711864,42.84633333333333,46.300000000000004,30.412765957446812
78,01676,33.4336,45.60121212121212,80.37285714285714,51.878461538461536,35.346363636363634,14.99,21.62
79,01682,48.91818181818182,43.71566666666667,65.53857142857143,52.26444444444444,40.33625,26.175,32.26777777777777
80,01708,51.97833333333333,51.191929824561406,73.45217391304348,50.204324324324325,55.18625,30.765,20.60705882352941
81,01737,42.318688524590165,47.501333333333335,64.61877551020409,45.69371794871795,41.24627906976744,50.618,26.79128205128205
82,01738,43.270515463917526,48.55264150943396,62.62682926829268,47.04838709677419,42.618059701492534,53.696666666666665,28.087333333333333
83,01768,46.56378151260504,53.19247933884297,74.08095238095238,51.02231884057971,54.01432835820896,62.32375,22.738703703703706
84,01795,51.20791666666667,41.56360655737705,58.341111111111104,43.615161290322575,48.07511627906977,84.23,27.480625
85,01821,41.673545454545454,44.63898305084746,62.53316455696202,45.76615942028985,41.66097014925373,41.28923076923077,25.30217391304348
86,01824,55.29354545454545,54.08,75.955,57.3996875,56.49575757575758,40.364,28.265
87,01829,42.203125,44.437087378640776,63.65045454545455,46.555299145299145,41.224344262295084,41.28923076923077,25.537625
88,01849,44.648455284552846,45.53121495327103,66.6226923076923,48.418181818181814,46.524268292682926,33.84,23.73348837209302
89,01869,44.01247191011236,49.26419047619047,76.4525,50.001250000000006,43.843859649122805,34.483333333333334,26.448837209302326
90,01873,53.77506329113925,57.46559523809523,77.1730303030303,57.08063829787234,51.86915254237289,58.36666666666667,29.06952380952381
91,01891,54.75670731707317,52.63228915662651,75.67391304347827,55.72428571428572,50.29313432835821,48.89625,34.818333333333335
92,01893,50.92140625,54.33442307692307,73.23111111111112,52.329130434782606,55.32928571428572,63.0325,27.8855
93,01920,51.73880952380953,60.38619047619047,76.73166666666667,52.931666666666665,59.103529411764704,53.75333333333333,26.956875
94,01928,58.38620689655173,52.60294117647059,75.99095238095238,56.23222222222222,52.628499999999995,63.089999999999996,31.426
95,01937,42.51475,44.9521686746988,68.72121212121213,51.34916666666666,36.975818181818184,11.246666666666668,26.34527777777778
96,01938,46.10076023391812,52.32860465116279,73.66311111111112,55.495816326530615,48.51533333333334,27.394,21.752105263157894
97,01953,39.45045454545454,45.09096774193548,72.46777777777778,42.45882352941176,36.15076923076923,99.5,24.78923076923077
98,01965,52.80918367346939,54.90833333333333,72.501875,54.6824,56.89181818181819,30.765,36.2055
99,01979,44.70980392156862,48.906363636363636,67.00574074074073,48.37181818181818,45.573,35.71333333333333,26.055208333333336
100,01988,51.0375,58.88214285714286,69.09625,62.91375,50.622,20.43,26.795
101,01999,48.23134615384615,48.97174603174603,72.62190476190476,46.02861111111111,50.515882352941176,52.496,22.69157894736842
102,02008,45.40275,48.73926829268292,67.41764705882352,41.93727272727273,57.4125,16.83,21.154
103,02012,46.56666666666667,47.531555555555556,73.695,46.45583333333334,36.44541666666667,52.805,36.064
104,02017,41.057734375,47.17038461538461,72.32255319148936,44.96545454545455,44.40265957446809,29.849999999999998,22.981929824561405
105,02033,42.62202898550725,49.75757142857143,72.0851724137931,43.097837837837844,47.66340909090909,54.376666666666665,18.405384615384616
106,02034,53.541875000000005,47.25769230769231,62.944,63.795,41.525555555555556,39.94,26.17
107,02056,42.51475,44.9521686746988,68.72121212121213,51.34916666666666,36.975818181818184,11.246666666666668,26.34527777777778
108,02074,50.62959064327485,55.29968152866242,72.53582089552238,53.504382022471916,54.0872641509434,40.317499999999995,28.65741379310345
109,02076,41.648,51.011,77.35625,43.62083333333334,50.75315789473684,30.14,22.743333333333332
110,02086,47.87614035087719,42.27162162162162,70.38964285714286,46.32524590163935,43.93829268292683,50.99181818181818,27.661162790697677
111,02092,44.87352941176471,49.118125,72.90333333333334,56.125416666666666,47.75125,10.105,23.791052631578946
112,02112,51.52176795580111,49.469456521739126,70.91132352941177,50.284166666666664,51.085440000000006,47.80357142857143,27.800645161290323
113,02119,55.81655172413793,44.5916,71.793,46.10823529411765,47.51,62.18666666666667,33.924285714285716
114,02141,52.516,48.17769230769231,72.99312499999999,52.00111111111111,42.38173913043478,55.620000000000005,32.103846153846156
115,02156,50.651875,46.450967741935486,65.9452380952381,52.74823529411765,46.50090909090909,35.138,24.867058823529412
116,02188,54.903571428571425,39.974230769230765,58.480999999999995,40.42133333333333,59.714999999999996,15.47,29.516
117,02196,43.75857142857143,41.6075,64.35885714285715,45.53657142857143,42.5693023255814,38.985,23.85291666666667
118,02197,51.52176795580111,49.469456521739126,70.91132352941177,50.284166666666664,51.085440000000006,47.80357142857143,27.800645161290323
119,02200,45.96817073170732,53.89093333333334,67.20266666666666,53.41925,53.96565217391304,49.72571428571428,24.348823529411764
120,02202,48.053172413793106,43.86507575757575,72.54073170731708,49.67611111111111,46.04536082474226,41.4125,22.612727272727273
121,02214,52.50037037037037,47.69375,69.47714285714285,52.13214285714286,53.61388888888889,26.294999999999998,32.833
122,02229,49.031612903225806,51.291935483870965,72.71990291262135,52.725433070866146,49.49572368421053,54.79105263157894,22.416631578947367
