PID,25845,25809,25773,25737,25692,24384,24339,24303,24267,24222,24186,24150,22079,22043,21800,21764,21728,17693,17666
1482.0,46.28,52.52,58.42,42.88,49.79,40.31,55.94,44.66,,60.26,50.88,50.6,46.03,49.03,45.44,,42.45,51.1,58.47
1247.0,46.28,52.52,58.42,42.88,49.79,40.31,55.94,44.66,49.53,60.26,50.88,50.6,46.03,49.03,45.44,54.39,42.45,51.1,58.47
21666.0,41.75,57.0,,,,57.32,,,,,,,,,,,,,
12964.0,43.35,,,,,,,,,52.73,,,,,,,,,45.22
1633.0,58.0,51.05,55.65,,51.29,,,,,,,,,,41.75,,56.07,,48.79
19536.0,36.19,50.02,,,,,,,,,,,,,,43.89,,50.75,51.4
1328.0,48.37,56.1,61.17,50.48,54.69,,,,,49.62,,,46.17,55.2,55.02,54.27,48.12,,54.47
15770.0,48.37,56.1,61.17,50.48,54.69,,,,,,,,,,,,56.78,,
12691.0,58.53,50.34,67.08,,,,,53.89,,,,,55.96,63.99,49.24,53.52,54.98,,
15769.0,49.15,58.1,61.51,49.18,53.18,,,,,,,,,,,,60.56,,49.89
13118.0,49.15,58.1,61.51,49.18,53.18,,,,,,,,,,,,60.56,,49.89
16756.0,35.39,55.58,45.36,,50.38,,,,,,,,46.54,40.97,,42.51,48.03,43.04,46.14
1412.0,35.39,55.58,45.36,,50.38,,,,,,,,46.54,40.97,,42.51,48.03,43.04,46.14
20028.0,61.37,,,,48.51,,60.52,,,,,,,,,,,,52.63
17795.0,56.88,61.68,,47.48,61.72,56.22,53.27,,,,43.58,53.59,,,,50.22,,,
4958.0,58.81,,,,,,,,,,,,,,,,,,
14051.0,46.39,,49.94,46.57,34.96,,,,,,,,,,,,,,
12870.0,46.39,,49.94,46.57,34.96,,,,,,,,,,,,,,
20182.0,42.57,,,,,,31.46,,50.56,,,,,,,,,,
20183.0,42.57,,,,,,31.46,,50.56,,,,,,,,,,
