,średnia_na_rozgrywce,średnia_na_obronie,Kokosy_na_Obronie,częściówka,końcówka,szlemik,Wpadka,liczba_rozdan_na_rozgrywce,liczba_rozdan_na_obronie,liczba_rozdan_Kokosy_na_Obronie,liczba_rozdan_częściówka,liczba_rozdan_końcówka,liczba_rozdan_szlemik,liczba_rozdan_Wpadka
0,85.23,41.02,77.52,72.68,44.67,98.8,53.91,38,44,14,23,30,1,14
1,85.23,41.02,77.52,72.68,44.67,98.8,53.91,38,44,14,23,30,1,14
2,85.23,41.02,77.52,72.68,44.67,98.8,53.91,38,44,14,23,30,1,14
3,25.84,49.97,99.14,64.4,38.39,14.15,11.35,46,37,12,19,29,3,20
4,25.84,49.97,99.14,64.4,38.39,14.15,11.35,46,37,12,19,29,3,20
5,25.84,49.97,99.14,64.4,38.39,14.15,11.35,46,37,12,19,29,3,20
6,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
7,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
8,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
9,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
10,37.99,30.41,83.4,51.63,38.51,93.38,24.64,78,59,19,47,37,2,32
11,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
12,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
13,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
14,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
15,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
16,86.82,81.8,85.45,96.35,46.55,85.05,66.23,87,79,37,39,56,4,30
17,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
18,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
19,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
20,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
21,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
22,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
23,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
24,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
25,88.76,93.27,71.42,72.16,95.66,74.61,82.14,117,124,59,71,59,8,44
26,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
27,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
28,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
29,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
30,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
31,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
32,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
33,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
34,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
35,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
36,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
37,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
38,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
39,77.47,92.24,77.07,90.19,81.69,92.13,46.89,108,85,42,60,44,8,39
40,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
41,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
42,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
43,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
44,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
45,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
46,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
47,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
48,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
49,33.6,27.27,16.66,50.09,12.89,78.84,44.95,126,144,56,75,82,7,50
50,84.2,92.87,82.66,80.72,67.26,92.64,67.48,52,56,28,27,32,4,17
51,84.2,92.87,82.66,80.72,67.26,92.64,67.48,52,56,28,27,32,4,17
52,84.2,92.87,82.66,80.72,67.26,92.64,67.48,52,56,28,27,32,4,17
53,84.2,92.87,82.66,80.72,67.26,92.64,67.48,52,56,28,27,32,4,17
54,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
55,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
56,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
57,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
58,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
59,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
60,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
61,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
62,76.95,91.67,82.03,82.14,78.32,80.32,82.32,126,124,60,58,70,8,54
63,52.82,9.81,14.32,9.47,61.61,53.28,28.58,57,58,17,28,48,2,20
64,52.82,9.81,14.32,9.47,61.61,53.28,28.58,57,58,17,28,48,2,20
65,52.82,9.81,14.32,9.47,61.61,53.28,28.58,57,58,17,28,48,2,20
66,52.82,9.81,14.32,9.47,61.61,53.28,28.58,57,58,17,28,48,2,20
67,52.82,9.81,14.32,9.47,61.61,53.28,28.58,57,58,17,28,48,2,20
68,52.82,9.81,14.32,9.47,61.61,53.28,28.58,57,58,17,28,48,2,20
69,52.82,9.81,14.32,9.47,61.61,53.28,28.58,57,58,17,28,48,2,20
70,52.82,9.81,14.32,9.47,61.61,53.28,28.58,57,58,17,28,48,2,20
71,13.01,16.03,4.51,14.03,29.89,1.43,12.55,37,48,18,20,32,1,14
72,13.01,16.03,4.51,14.03,29.89,1.43,12.55,37,48,18,20,32,1,14
73,13.01,16.03,4.51,14.03,29.89,1.43,12.55,37,48,18,20,32,1,14
74,13.01,16.03,4.51,14.03,29.89,1.43,12.55,37,48,18,20,32,1,14
75,13.01,16.03,4.51,14.03,29.89,1.43,12.55,37,48,18,20,32,1,14
76,13.01,16.03,4.51,14.03,29.89,1.43,12.55,37,48,18,20,32,1,14
77,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
78,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
79,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
80,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
81,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
82,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
83,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
84,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
85,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
86,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
87,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
88,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
89,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
90,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
91,24.64,34.63,48.2,26.18,41.24,52.37,32.06,172,235,65,107,141,13,81
92,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
93,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
94,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
95,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
96,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
97,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
98,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
99,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
100,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
101,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
102,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
103,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
104,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
105,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
106,63.83,77.47,81.97,89.67,43.92,77.7,71.93,216,196,78,100,127,17,90
107,21.73,5.76,9.47,8.04,7.76,60.47,51.11,51,59,20,34,27,7,22
108,21.73,5.76,9.47,8.04,7.76,60.47,51.11,51,59,20,34,27,7,22
109,21.73,5.76,9.47,8.04,7.76,60.47,51.11,51,59,20,34,27,7,22
110,21.73,5.76,9.47,8.04,7.76,60.47,51.11,51,59,20,34,27,7,22
111,35.08,16.66,20.14,8.33,21.45,71.53,51.57,61,78,28,42,37,8,24
112,35.08,16.66,20.14,8.33,21.45,71.53,51.57,61,78,28,42,37,8,24
113,35.08,16.66,20.14,8.33,21.45,71.53,51.57,61,78,28,42,37,8,24
114,35.08,16.66,20.14,8.33,21.45,71.53,51.57,61,78,28,42,37,8,24
115,35.08,16.66,20.14,8.33,21.45,71.53,51.57,61,78,28,42,37,8,24
116,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
117,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
118,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
119,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
120,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
121,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
122,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
123,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
124,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
125,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
126,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
127,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
128,83.63,72.16,32.92,73.87,77.12,71.88,90.59,190,178,70,128,102,13,55
129,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
130,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
131,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
132,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
133,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
134,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
135,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
136,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
137,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
138,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
139,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
140,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
141,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
142,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
143,82.94,77.92,30.92,71.02,82.89,74.44,88.82,219,207,85,143,120,16,62
144,80.49,87.96,71.02,85.91,89.45,30.69,91.96,95,73,28,61,41,2,36
145,80.49,87.96,71.02,85.91,89.45,30.69,91.96,95,73,28,61,41,2,36
146,80.49,87.96,71.02,85.91,89.45,30.69,91.96,95,73,28,61,41,2,36
147,80.49,87.96,71.02,85.91,89.45,30.69,91.96,95,73,28,61,41,2,36
148,80.49,87.96,71.02,85.91,89.45,30.69,91.96,95,73,28,61,41,2,36
149,80.49,87.96,71.02,85.91,89.45,30.69,91.96,95,73,28,61,41,2,36
150,73.53,89.96,80.09,84.88,85.28,44.89,86.25,121,95,36,79,53,4,44
151,73.53,89.96,80.09,84.88,85.28,44.89,86.25,121,95,36,79,53,4,44
152,73.53,89.96,80.09,84.88,85.28,44.89,86.25,121,95,36,79,53,4,44
153,73.53,89.96,80.09,84.88,85.28,44.89,86.25,121,95,36,79,53,4,44
154,73.53,89.96,80.09,84.88,85.28,44.89,86.25,121,95,36,79,53,4,44
155,73.53,89.96,80.09,84.88,85.28,44.89,86.25,121,95,36,79,53,4,44
156,73.53,89.96,80.09,84.88,85.28,44.89,86.25,121,95,36,79,53,4,44
157,73.53,89.96,80.09,84.88,85.28,44.89,86.25,121,95,36,79,53,4,44
158,69.25,80.78,81.0,55.96,72.68,86.77,14.43,101,90,42,59,55,6,29
159,69.25,80.78,81.0,55.96,72.68,86.77,14.43,101,90,42,59,55,6,29
160,69.25,80.78,81.0,55.96,72.68,86.77,14.43,101,90,42,59,55,6,29
161,69.25,80.78,81.0,55.96,72.68,86.77,14.43,101,90,42,59,55,6,29
162,69.25,80.78,81.0,55.96,72.68,86.77,14.43,101,90,42,59,55,6,29
163,69.25,80.78,81.0,55.96,72.68,86.77,14.43,101,90,42,59,55,6,29
164,69.25,80.78,81.0,55.96,72.68,86.77,14.43,101,90,42,59,55,6,29
165,3.99,27.9,28.07,10.15,22.65,84.65,12.95,97,90,31,53,48,5,50
166,3.99,27.9,28.07,10.15,22.65,84.65,12.95,97,90,31,53,48,5,50
167,3.99,27.9,28.07,10.15,22.65,84.65,12.95,97,90,31,53,48,5,50
168,3.99,27.9,28.07,10.15,22.65,84.65,12.95,97,90,31,53,48,5,50
169,3.99,27.9,28.07,10.15,22.65,84.65,12.95,97,90,31,53,48,5,50
170,3.99,27.9,28.07,10.15,22.65,84.65,12.95,97,90,31,53,48,5,50
171,3.99,27.9,28.07,10.15,22.65,84.65,12.95,97,90,31,53,48,5,50
172,31.77,62.46,26.35,55.73,70.62,68.51,29.15,63,46,23,28,29,2,27
173,31.77,62.46,26.35,55.73,70.62,68.51,29.15,63,46,23,28,29,2,27
174,31.77,62.46,26.35,55.73,70.62,68.51,29.15,63,46,23,28,29,2,27
175,31.77,62.46,26.35,55.73,70.62,68.51,29.15,63,46,23,28,29,2,27
176,22.93,73.19,84.65,71.53,66.29,66.8,5.82,122,106,34,55,78,9,52
177,22.93,73.19,84.65,71.53,66.29,66.8,5.82,122,106,34,55,78,9,52
178,22.93,73.19,84.65,71.53,66.29,66.8,5.82,122,106,34,55,78,9,52
179,22.93,73.19,84.65,71.53,66.29,66.8,5.82,122,106,34,55,78,9,52
180,22.93,73.19,84.65,71.53,66.29,66.8,5.82,122,106,34,55,78,9,52
181,22.93,73.19,84.65,71.53,66.29,66.8,5.82,122,106,34,55,78,9,52
182,22.93,73.19,84.65,71.53,66.29,66.8,5.82,122,106,34,55,78,9,52
183,22.93,73.19,84.65,71.53,66.29,66.8,5.82,122,106,34,55,78,9,52
184,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
185,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
186,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
187,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
188,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
189,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
190,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
191,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
192,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
193,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
194,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
195,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
196,59.73,47.06,54.19,49.17,54.02,52.42,79.69,187,176,59,114,110,12,68
197,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
198,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
199,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
200,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
201,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
202,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
203,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
204,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
205,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
206,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
207,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
208,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
209,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
210,60.24,58.07,54.08,56.19,61.49,51.23,78.95,205,189,64,124,122,13,71
211,71.25,70.68,43.53,65.6,89.33,73.76,34.57,108,86,35,51,68,5,35
212,71.25,70.68,43.53,65.6,89.33,73.76,34.57,108,86,35,51,68,5,35
213,71.25,70.68,43.53,65.6,89.33,73.76,34.57,108,86,35,51,68,5,35
214,71.25,70.68,43.53,65.6,89.33,73.76,34.57,108,86,35,51,68,5,35
215,71.25,70.68,43.53,65.6,89.33,73.76,34.57,108,86,35,51,68,5,35
216,71.25,70.68,43.53,65.6,89.33,73.76,34.57,108,86,35,51,68,5,35
217,71.25,70.68,43.53,65.6,89.33,73.76,34.57,108,86,35,51,68,5,35
218,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
219,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
220,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
221,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
222,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
223,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
224,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
225,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
226,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
227,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
228,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
229,88.59,85.8,91.9,84.54,83.11,73.02,86.59,184,158,58,91,119,14,60
230,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
231,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
232,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
233,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
234,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
235,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
236,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
237,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
238,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
239,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
240,29.83,41.41,52.54,46.66,21.62,8.56,45.75,141,170,65,79,101,8,58
241,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
242,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
243,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
244,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
245,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
246,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
247,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
248,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
249,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
250,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
251,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
252,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
253,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
254,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
255,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
256,51.17,50.71,69.31,44.72,41.81,32.74,66.91,220,232,87,120,145,16,84
257,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
258,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
259,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
260,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
261,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
262,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
263,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
264,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
265,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
266,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
267,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
268,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
269,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
270,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
271,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
272,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
273,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
274,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
275,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
276,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
277,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
278,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
279,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
280,8.9,32.4,40.16,26.87,16.2,19.85,9.7,167,174,62,103,105,9,62
281,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
282,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
283,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
284,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
285,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
286,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
287,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
288,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
289,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
290,37.19,67.88,47.92,57.16,55.85,18.88,72.79,140,143,52,71,94,10,56
291,88.36,45.81,47.86,34.91,87.91,22.82,73.13,49,59,23,35,31,7,12
292,88.36,45.81,47.86,34.91,87.91,22.82,73.13,49,59,23,35,31,7,12
293,88.36,45.81,47.86,34.91,87.91,22.82,73.13,49,59,23,35,31,7,12
294,88.36,45.81,47.86,34.91,87.91,22.82,73.13,49,59,23,35,31,7,12
295,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
296,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
297,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
298,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
299,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
300,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
301,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
302,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
303,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
304,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
305,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
306,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
307,78.38,70.56,74.33,66.51,68.23,47.92,74.96,164,199,69,95,128,14,57
308,54.59,81.86,70.79,69.37,48.77,49.23,77.75,155,182,73,84,110,11,59
309,54.59,81.86,70.79,69.37,48.77,49.23,77.75,155,182,73,84,110,11,59
310,54.59,81.86,70.79,69.37,48.77,49.23,77.75,155,182,73,84,110,11,59
311,54.59,81.86,70.79,69.37,48.77,49.23,77.75,155,182,73,84,110,11,59
312,54.59,81.86,70.79,69.37,48.77,49.23,77.75,155,182,73,84,110,11,59
313,54.59,81.86,70.79,69.37,48.77,49.23,77.75,155,182,73,84,110,11,59
